ISO3,CTSCode,Year,Measurements
AFG,ECCS,1961,-0.096
ALB,ECCS,1961,0.643
DZA,ECCS,1961,0.154
ASM,ECCS,1961,0.075
AND,ECCS,1961,0.736
AGO,ECCS,1961,0.033
AIA,ECCS,1961,-0.029
ATG,ECCS,1961,0.013
ARG,ECCS,1961,0.117
ABW,ECCS,1961,-0.343
AUS,ECCS,1961,0.152
AUT,ECCS,1961,1.031
BHS,ECCS,1961,-0.01
BHR,ECCS,1961,-0.484
BGD,ECCS,1961,0.126
BRB,ECCS,1961,0.245
BLZ,ECCS,1961,-0.005
BEN,ECCS,1961,-0.173
BTN,ECCS,1961,0.176
BOL,ECCS,1961,0.223
BWA,ECCS,1961,0.088
BRA,ECCS,1961,0.198
VGB,ECCS,1961,-0.043
BRN,ECCS,1961,0.116
BGR,ECCS,1961,0.881
BFA,ECCS,1961,-0.293
BDI,ECCS,1961,0.074
CPV,ECCS,1961,-0.076
KHM,ECCS,1961,-0.024
CMR,ECCS,1961,-0.105
CAN,ECCS,1961,0.047
CAF,ECCS,1961,-0.012
TCD,ECCS,1961,-0.406
CHL,ECCS,1961,-0.272
HKG,ECCS,1961,0.072
MAC,ECCS,1961,0.072
CHN,ECCS,1961,0.255
COL,ECCS,1961,0.027
COM,ECCS,1961,0.479
COD,ECCS,1961,-0.013
COG,ECCS,1961,-0.144
COK,ECCS,1961,0.108
CUB,ECCS,1961,-0.057
CYP,ECCS,1961,0.062
DNK,ECCS,1961,1.118
DJI,ECCS,1961,0.135
DMA,ECCS,1961,0.011
DOM,ECCS,1961,-0.05
ECU,ECCS,1961,-0.138
EGY,ECCS,1961,-0.223
SLV,ECCS,1961,-0.057
GNQ,ECCS,1961,-0.135
SWZ,ECCS,1961,0.312
FLK,ECCS,1961,-0.351
FRO,ECCS,1961,0.632
FJI,ECCS,1961,0.25
FIN,ECCS,1961,1.895
FRA,ECCS,1961,0.831
PYF,ECCS,1961,0.08
GAB,ECCS,1961,-0.098
GMB,ECCS,1961,-0.137
DEU,ECCS,1961,0.992
GHA,ECCS,1961,-0.102
GIB,ECCS,1961,0.606
GRC,ECCS,1961,0.466
GRL,ECCS,1961,-0.398
GRD,ECCS,1961,0.394
GLP,ECCS,1961,-0.008
GTM,ECCS,1961,-0.035
GUF,ECCS,1961,-0.087
GIN,ECCS,1961,-0.126
GNB,ECCS,1961,-0.136
GUY,ECCS,1961,0.011
HTI,ECCS,1961,-0.031
VAT,ECCS,1961,0.71
HND,ECCS,1961,-0.081
HUN,ECCS,1961,1.181
ISL,ECCS,1961,0.613
IND,ECCS,1961,-0.179
IDN,ECCS,1961,-0.049
IRN,ECCS,1961,-0.074
IRQ,ECCS,1961,-0.161
IRL,ECCS,1961,0.268
IMN,ECCS,1961,0.358
ISR,ECCS,1961,-0.108
ITA,ECCS,1961,0.811
JAM,ECCS,1961,-0.043
JPN,ECCS,1961,0.666
JOR,ECCS,1961,-0.18
KEN,ECCS,1961,0.29
KIR,ECCS,1961,-0.015
PRK,ECCS,1961,0.495
KOR,ECCS,1961,0.64
KWT,ECCS,1961,-0.245
LAO,ECCS,1961,0.087
LBN,ECCS,1961,0.018
LSO,ECCS,1961,0.362
LBR,ECCS,1961,-0.117
LBY,ECCS,1961,-0.433
LIE,ECCS,1961,1.056
MDG,ECCS,1961,0.57
