RevisionNumber,ISO3,CTSCode,Year,RevisionDate,Notes
1,AFG,ECCS,1961,2026-04-01,synthetic revision
2,ALB,ECCS,1961,2026-04-01,synthetic revision
3,DZA,ECCS,1961,2026-04-01,synthetic revision
4,ASM,ECCS,1961,2026-04-01,synthetic revision
5,AND,ECCS,1961,2026-04-01,synthetic revision
6,AGO,ECCS,1961,2026-04-01,synthetic revision
7,AIA,ECCS,1961,2026-04-01,synthetic revision
8,ATG,ECCS,1961,2026-04-01,synthetic revision
9,ARG,ECCS,1961,2026-04-01,synthetic revision
10,ABW,ECCS,1961,2026-04-01,synthetic revision
11,AUS,ECCS,1961,2026-04-01,synthetic revision
12,AUT,ECCS,1961,2026-04-01,synthetic revision
13,BHS,ECCS,1961,2026-04-01,synthetic revision
14,BHR,ECCS,1961,2026-04-01,synthetic revision
15,BGD,ECCS,1961,2026-04-01,synthetic revision
16,BRB,ECCS,1961,2026-04-01,synthetic revision
17,BLZ,ECCS,1961,2026-04-01,synthetic revision
18,BEN,ECCS,1961,2026-04-01,synthetic revision
19,BTN,ECCS,1961,2026-04-01,synthetic revision
20,BOL,ECCS,1961,2026-04-01,synthetic revision
21,BWA,ECCS,1961,2026-04-01,synthetic revision
22,BRA,ECCS,1961,2026-04-01,synthetic revision
23,VGB,ECCS,1961,2026-04-01,synthetic revision
24,BRN,ECCS,1961,2026-04-01,synthetic revision
25,BGR,ECCS,1961,2026-04-01,synthetic revision
26,BFA,ECCS,1961,2026-04-01,synthetic revision
27,BDI,ECCS,1961,2026-04-01,synthetic revision
28,CPV,ECCS,1961,2026-04-01,synthetic revision
29,KHM,ECCS,1961,2026-04-01,synthetic revision
30,CMR,ECCS,1961,2026-04-01,synthetic revision
31,CAN,ECCS,1961,2026-04-01,synthetic revision
32,CAF,ECCS,1961,2026-04-01,synthetic revision
33,TCD,ECCS,1961,2026-04-01,synthetic revision
34,CHL,ECCS,1961,2026-04-01,synthetic revision
35,HKG,ECCS,1961,2026-04-01,synthetic revision
36,MAC,ECCS,1961,2026-04-01,synthetic revision
37,CHN,ECCS,1961,2026-04-01,synthetic revision
38,COL,ECCS,1961,2026-04-01,synthetic revision
39,COM,ECCS,1961,2026-04-01,synthetic revision
40,COD,ECCS,1961,2026-04-01,synthetic revision
41,COG,ECCS,1961,2026-04-01,synthetic revision
42,COK,ECCS,1961,2026-04-01,synthetic revision
43,CUB,ECCS,1961,2026-04-01,synthetic revision
44,CYP,ECCS,1961,2026-04-01,synthetic revision
45,DNK,ECCS,1961,2026-04-01,synthetic revision
46,DJI,ECCS,1961,2026-04-01,synthetic revision
47,DMA,ECCS,1961,2026-04-01,synthetic revision
48,DOM,ECCS,1961,2026-04-01,synthetic revision
49,ECU,ECCS,1961,2026-04-01,synthetic revision
50,EGY,ECCS,1961,2026-04-01,synthetic revision
51,SLV,ECCS,1961,2026-04-01,synthetic revision
52,GNQ,ECCS,1961,2026-04-01,synthetic revision
53,SWZ,ECCS,1961,2026-04-01,synthetic revision
54,FLK,ECCS,1961,2026-04-01,synthetic revision
55,FRO,ECCS,1961,2026-04-01,synthetic revision
56,FJI,ECCS,1961,2026-04-01,synthetic revision
57,FIN,ECCS,1961,2026-04-01,synthetic revision
58,FRA,ECCS,1961,2026-04-01,synthetic revision
59,PYF,ECCS,1961,2026-04-01,synthetic revision
60,GAB,ECCS,1961,2026-04-01,synthetic revision
61,GMB,ECCS,1961,2026-04-01,synthetic revision
62,DEU,ECCS,1961,2026-04-01,synthetic revision
63,GHA,ECCS,1961,2026-04-01,synthetic revision
64,GIB,ECCS,1961,2026-04-01,synthetic revision
65,GRC,ECCS,1961,2026-04-01,synthetic revision
66,GRL,ECCS,1961,2026-04-01,synthetic revision
67,GRD,ECCS,1961,2026-04-01,synthetic revision
68,GLP,ECCS,1961,2026-04-01,synthetic revision
69,GTM,ECCS,1961,2026-04-01,synthetic revision
70,GUF,ECCS,1961,2026-04-01,synthetic revision
71,GIN,ECCS,1961,2026-04-01,synthetic revision
72,GNB,ECCS,1961,2026-04-01,synthetic revision
73,GUY,ECCS,1961,2026-04-01,synthetic revision
74,HTI,ECCS,1961,2026-04-01,synthetic revision
75,VAT,ECCS,1961,2026-04-01,synthetic revision
76,HND,ECCS,1961,2026-04-01,synthetic revision
77,HUN,ECCS,1961,2026-04-01,synthetic revision
78,ISL,ECCS,1961,2026-04-01,synthetic revision
79,IND,ECCS,1961,2026-04-01,synthetic revision
80,IDN,ECCS,1961,2026-04-01,synthetic revision
81,IRN,ECCS,1961,2026-04-01,synthetic revision
82,IRQ,ECCS,1961,2026-04-01,synthetic revision
83,IRL,ECCS,1961,2026-04-01,synthetic revision
84,IMN,ECCS,1961,2026-04-01,synthetic revision
85,ISR,ECCS,1961,2026-04-01,synthetic revision
86,ITA,ECCS,1961,2026-04-01,synthetic revision
