CTSCode,IndicatorName,Unit,Source,CTSFullDescriptor
ECCS,Surface Temperature Change,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_002,Surface Temperature Change Variant 2,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_003,Surface Temperature Change Variant 3,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_004,Surface Temperature Change Variant 4,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_005,Surface Temperature Change Variant 2 Variant 5,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_006,Surface Temperature Change Variant 2 Variant 6,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_007,Surface Temperature Change Variant 2 Variant 5 Variant 7,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_008,Surface Temperature Change Variant 2 Variant 6 Variant 8,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_009,Surface Temperature Change Variant 2 Variant 6 Variant 9,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_010,Surface Temperature Change Variant 3 Variant 10,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_011,Surface Temperature Change Variant 2 Variant 5 Variant 11,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_012,Surface Temperature Change Variant 3 Variant 12,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_013,Surface Temperature Change Variant 2 Variant 13,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_014,Surface Temperature Change Variant 2 Variant 6 Variant 14,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_015,Surface Temperature Change Variant 2 Variant 15,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_016,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_017,Surface Temperature Change Variant 3 Variant 10 Variant 17,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_018,Surface Temperature Change Variant 2 Variant 6 Variant 18,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_019,Surface Temperature Change Variant 2 Variant 15 Variant 19,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
